,batsman,tot_ball,inning,over_num,ball_num,stage,bowler_num,batsman_num,howout,wide_runs,noball,noball_bat_runs,LegByes_runs,Byes_runs,Bat_runs,Balls_faced,boundary,scoring_id,wickets,Overs,run,runs,ball_counts,runrate_ball,EXTRA
0,Ajay Narayanan ,1355,39,222,138,42,84,78,1,6,0,0,0,2,28,780,16,62,34,235.8,36,1596,1355,46.260869566,39
1,Ajay Natraj ,3638,25,576,82,56,101,175,1,0,0,0,4,1,17,325,4,40,101,584.2,22,3860,3638,111.884057968,25
2,Ashok ,1698,32,272,104,47,88,96,3,1,0,0,0,0,48,528,32,69,44,282.4,49,2085,1698,60.434782607,32
3,Kishore Kumar ,252,2,39,11,5,7,8,2,0,0,0,0,0,0,3,0,2,11,40.1,0,275,252,7.971014493,2
4,Mathan ,1414,8,222,35,24,30,64,1,0,1,1,0,0,10,36,0,18,53,225.5,11,1505,1414,43.623188407,8
5,Parthiban ,756,4,119,18,12,13,44,2,0,0,0,0,0,3,10,0,7,37,120.8,3,795,756,23.04347826,4
6,Shriram ,740,4,118,8,12,14,40,0,0,0,0,0,0,4,10,0,8,32,118.8,4,782,740,22.666666667999998,4
7,Srinivasan ,3245,25,507,110,55,107,150,1,1,0,0,1,0,16,325,8,39,91,518.0,18,3542,3245,102.666666665,25
8,Subash ,1546,9,245,24,27,37,81,1,5,0,0,0,0,5,45,0,14,55,247.4,10,1644,1546,47.652173912,9
9,Suresh ,47,6,10,18,6,10,6,1,0,0,0,0,0,9,21,4,13,1,11.8,9,70,47,2.028985507,6
10,Syed Haseeb ,3645,37,572,117,74,160,185,4,6,0,0,0,0,32,703,20,64,95,583.7,38,4281,3645,124.086956523,37
