,over_num,tot_ball,inning,ball_num,stage,bowler_num,batsman_num,howout,wide_runs,noball,noball_bat_runs,LegByes_runs,Byes_runs,Bat_runs,Balls_faced,boundary,scoring_id,wickets,Overs,run,runs,ball_counts,runrate_ball,EXTRA
0,1,28,7,25,7,7,12,0,2,0,0,0,0,8,18,4,13,0,9.5,10,44,28,1.275362317,7
1,2,63,6,21,6,12,8,1,0,0,0,0,0,6,31,4,11,2,14.1,6,87,63,2.521739131,6
2,3,99,6,21,6,6,16,0,0,0,0,0,0,6,27,4,11,6,20.1,6,118,99,3.420289853,6
3,4,161,7,22,7,14,16,0,1,0,0,0,0,6,71,4,12,7,30.2,7,185,161,5.362318841,7
4,5,210,7,22,7,7,19,0,1,0,0,0,1,5,76,4,11,7,37.2,7,238,210,6.898550724,7
5,6,219,6,21,6,18,14,0,0,0,0,0,0,11,99,6,13,6,38.1,11,243,219,7.043478262,6
6,7,348,8,31,8,16,16,0,2,0,0,0,1,4,196,4,11,8,59.1,7,412,348,11.942028987,8
7,8,303,6,21,6,18,13,0,0,0,0,0,0,13,169,12,16,6,50.1,13,358,303,10.376811594,6
8,9,339,6,21,6,12,15,0,0,0,0,0,0,6,153,0,12,6,56.1,6,423,339,12.260869565,6
9,10,508,8,30,16,31,22,1,1,0,0,0,0,7,193,4,14,10,83.0,8,621,508,18.0,8
10,11,423,6,21,12,18,24,0,0,0,0,0,0,14,75,10,16,12,68.1,14,535,423,15.507246376000001,6
11,12,459,6,21,12,24,26,0,0,0,0,0,0,5,73,4,10,12,74.1,5,591,459,17.130434784000002,6
12,13,581,7,24,14,35,31,0,1,0,0,0,0,3,105,0,10,14,93.4,4,717,581,20.782608696,7
13,14,630,7,25,14,28,29,0,5,0,0,0,0,4,148,0,11,14,100.5,9,768,630,22.260869566,7
14,15,579,6,21,12,30,32,3,0,0,0,0,0,5,59,4,10,17,92.1,5,688,579,19.942028985,6
15,16,615,6,21,12,24,31,0,0,0,0,0,0,1,105,0,7,18,98.1,1,710,615,20.579710144,6
16,17,651,6,21,12,30,31,0,0,0,0,0,0,9,131,8,13,18,104.1,9,748,651,21.68115942,6
17,18,805,7,24,14,28,39,0,1,0,0,0,0,3,121,0,10,21,128.4,4,914,805,26.492753625,7
18,19,729,6,21,12,30,32,0,0,0,0,0,0,3,153,0,9,18,116.1,3,801,729,23.217391305,6
19,20,765,6,21,12,24,35,4,0,0,0,0,0,5,124,4,10,22,122.1,5,832,765,24.115942027,6
20,21,801,6,21,12,30,40,0,0,0,0,0,0,3,47,0,9,24,128.1,3,853,801,24.724637681,6
21,22,837,6,21,12,24,40,0,0,0,0,0,1,3,67,0,9,24,134.1,4,866,837,25.101449274,6
22,23,873,6,21,12,30,41,0,0,0,0,0,0,8,83,4,12,24,140.1,8,913,873,26.463768115,6
23,24,909,6,21,12,12,40,0,0,0,0,5,0,7,109,4,12,24,146.1,12,980,909,28.4057971,6
24,25,945,6,21,18,30,39,0,0,0,0,0,0,3,129,0,9,24,152.1,3,1016,945,29.449275362999998,6
25,26,1148,7,26,21,21,50,2,0,1,1,0,0,4,123,0,11,36,184.6,5,1203,1148,34.869565217,7
26,27,1197,7,22,21,35,61,0,5,0,0,0,0,7,25,0,14,42,191.2,12,1277,1197,37.014492753,7
27,28,1065,6,21,18,18,51,1,0,0,0,0,0,5,39,0,11,39,170.1,5,1136,1065,32.927536232,6
28,29,1101,6,21,18,24,51,3,0,0,0,0,0,3,21,0,9,47,176.1,3,1163,1101,33.710144929,6
29,30,945,5,15,15,15,53,2,0,0,0,0,0,5,16,0,10,46,151.5,5,995,945,28.84057971,5
